show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,date_x,crew,orig_lang,budget_x,revenue,score,genre,year_added,month_added,release_day_gap,first_country,target_ages,duration_min
s143,Movie,freedom writers,Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith","Germany, United States",2021-09-01 00:00:00,2007,PG-13,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",2007-03-22 00:00:00,"Hilary Swank, Erin Gruwell, Scott Glenn, Steve Gruwell, Imelda Staunton, Margaret Campbell, Patrick Dempsey, Scott Casey, April Lee Hernandez, Eva Benitez, Robert Wisdom, Dr. Carl Cohn, John Benjamin Hickey, Brian Gelford, Pat Carroll, Miep Gies, Hunter Parrish, Ben",English,21000000,43632609,79,['Dramas'],2021,9,5277,Germany,Teens,124
s144,Movie,green lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,2021-09-01 00:00:00,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,2011-08-11 00:00:00,"Ryan Reynolds, Hal Jordan / Green Lantern, Blake Lively, Carol Ferris, Peter Sarsgaard, Hector Hammond, Mark Strong, Sinestro, Tim Robbins, Senator Hammond, Angela Bassett, Dr. Amanda Waller, Taika Waititi, Tom Kalmaku, Temuera Morrison, Abin Sur, Michael Clarke Duncan, Kilowog (voice)",English,200000000,219535492,52,"['Action & Adventure', 'Sci-Fi & Fantasy']",2021,9,3674,United States,Teens,114
s145,Movie,house party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,2021-09-01 00:00:00,1990,R,104 min,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",1990-03-09 00:00:00,"Christopher Reid, Kid, Christopher Martin, Play, Martin Lawrence, Bilal, Tisha Campbell-Martin, Sidney, A.J. Johnson, Sharane, Robin Harris, Pop, Paul Anthony, Stab, Kelly Jo Minter, La Donna, George Clinton, D.J.",English,2500000,26386000,64,"['Comedies', 'Cult Movies']",2021,9,11499,United States,Adults,104
s156,Movie,labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States",2021-09-01 00:00:00,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",1986-12-04 00:00:00,"David Bowie, Jareth, Jennifer Connelly, Sarah, Toby Froud, Toby, Shelley Thompson, Stepmother, Christopher Malcolm, Father, Natalie Finland, Fairy, Shari Weiser, Hoggle, Brian Henson, Hoggle / Goblin (voice), Ron Mueck, Ludo / Firey 2 / Goblin (voice)",English,25000000,12729917,73,"['Action & Adventure', 'Children & Family Movies', 'Cult Movies']",2021,9,12690,United Kingdom,Older Kids,101
s157,Movie,letters to juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",United States,2021-09-01 00:00:00,2010,PG,105 min,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",2010-05-13 00:00:00,"Amanda Seyfried, Sophie, Gael García Bernal, Victor, Vanessa Redgrave, Claire, Franco Nero, Lorenzo, Luisa Ranieri, Isabella, Milena Vukotić, Maria, Marina Massironi, Francesca, Marcia DeBonis, Lorraine, Luisa De Santis, Angelina",English,30000000,82148538,70,"['Comedies', 'Dramas', 'Romantic Movies']",2021,9,4129,United States,Older Kids,105
s158,Movie,level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,2021-09-01 00:00:00,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",2019-03-15 00:00:00,"Katie Douglas, Vivien, Celina Martin, Sophia, Peter Outerbridge, Dr. Miro, Sara Canning, Miss Brixil, Alexis Whelan, Ava, Amalia Williamson, Rita, Josette Halpert, Olivia, Kate Vickery, Hedy, Kiana Madeira, Clara",English,53740900,15575,68,"['Sci-Fi & Fantasy', 'Thrillers']",2021,9,901,Canada,Teens,102
s162,Movie,mars attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",United States,2021-09-01 00:00:00,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",1996-12-24 00:00:00,"Jack Nicholson, President Dale / Art Land, Glenn Close, Marsha Dale, Annette Bening, Barbara Land, Pierce Brosnan, Donald Kessler, Danny DeVito, Rude Gambler, Martin Short, Jerry Ross, Sarah Jessica Parker, Nathalie Lake, Michael J. Fox, Jason Stone, Rod Steiger, General Decker",English,80000000,101371017,64,"['Comedies', 'Cult Movies', 'Sci-Fi & Fantasy']",2021,9,9017,United States,Teens,106
s163,Movie,marshall,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss","United States, China, Hong Kong",2021-09-01 00:00:00,2017,PG-13,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",2020-06-07 00:00:00,"Chadwick Boseman, Thurgood Marshall, Josh Gad, Sam Friedman, Kate Hudson, Eleanor Strubing, Sterling K. Brown, Joseph Spell, James Cromwell, The Judge, Dan Stevens, Lorin Willis, Sophia Bush, Jennifer, Jussie Smollett, Langston Hughes, Marina Squerciati, Stella Friedman",English,12000000,10116816,73,['Dramas'],2021,9,451,United States,Teens,118
s165,Movie,mystery men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",United States,2021-09-01 00:00:00,1999,PG-13,121 min,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,2000-01-13 00:00:00,"Ben Stiller, Mr. Furious, Geoffrey Rush, Casanova Frankenstein, Claire Forlani, Monica, William H. Macy, The Shoveler, Hank Azaria, The Blue Raja, Janeane Garofalo, The Bowler, Kel Mitchell, The Invisible Boy, Paul Reubens, Spleen, Jenifer Lewis, Lucille",English,68000000,33462011,58,"['Action & Adventure', 'Comedies']",2021,9,7902,United States,Teens,121
s167,Movie,once upon a time in america,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden","Italy, United States",2021-09-01 00:00:00,1984,R,229 min,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,1984-10-04 00:00:00,"Robert De Niro, David 'Noodles' Aaronson, James Woods, Maximilian 'Max' Bercovicz, Elizabeth McGovern, Deborah Gelly, Joe Pesci, Frankie Monaldi, Burt Young, Joe, Tuesday Weld, Carol, Treat Williams, James Conway O'Donnell, Jennifer Connelly, Young Deborah, Danny Aiello, Police Chief Vincent Aiello",English,30000000,5576529,84,"['Classic Movies', 'Dramas']",2021,9,13481,Italy,Adults,229
